seconds,%CPU,%memory
0,0.0,2.9
5,99.6,8.5
10,90.6,8.5
15,93.8,8.5
20,95.5,8.5
25,96.4,8.5
30,96.9,8.5
35,97.5,8.5
40,97.8,8.5
45,91.0,0.0
50,81.9,0.0
55,74.4,0.0
60,68.2,0.0
65,63.0,0.0
70,58.5,0.0
75,54.6,0.0
80,51.2,0.0
85,48.1,0.0
90,45.5,0.0
95,43.1,0.0
100,40.9,0.0
105,39.0,0.0
110,37.2,0.0
115,35.6,0.0
120,34.1,0.0
125,33.0,5.9
130,35.4,5.9
135,37.5,5.9
140,39.7,5.9
145,41.8,5.9
150,43.7,5.9
155,45.5,5.9
160,45.6,0.0
165,44.2,0.0
170,42.9,0.0
175,41.7,0.0
180,40.5,0.0
185,39.4,0.0
190,38.4,0.0
195,37.4,0.0
200,36.4,0.0
205,35.6,0.0
210,34.7,0.0
215,33.9,0.0
220,33.1,0.0
225,32.4,0.0
230,31.7,0.0
235,31.0,0.0
240,30.9,8.3
245,32.3,8.3
250,33.7,8.3
255,34.9,8.3
260,36.2,8.3
265,37.2,8.3
270,38.1,0.0
275,37.4,0.0
280,36.7,0.0
285,36.1,0.0
290,35.4,0.0
295,34.8,0.0
300,34.3,0.0
305,33.7,0.0
310,33.2,0.0
315,32.6,0.0
320,32.1,0.0
325,31.6,0.0
330,31.2,0.0
335,30.7,0.0
340,30.3,0.0
345,29.9,0.0
350,29.5,0.0
355,29.0,0.0
360,29.2,6.5
365,30.2,6.5
370,31.1,6.5
375,32.0,6.5
380,32.9,6.5
385,33.8,6.5
390,34.6,6.5
395,35.5,6.5
400,36.3,6.5
405,36.5,0.0
410,36.0,0.0
415,35.6,0.0
420,35.2,0.0
425,34.8,0.0
430,34.4,0.0
435,34.0,0.0
440,33.6,0.0
445,33.2,0.0
450,32.8,0.0
455,32.5,0.0
460,32.1,0.0
465,31.8,0.0
470,31.4,0.0
475,31.1,0.0
480,30.8,0.0
485,30.5,0.0
490,30.2,0.0
495,30.8,9.2
500,31.5,9.2
505,32.1,9.2
510,32.8,9.2
515,33.5,9.2
520,34.1,9.2
525,34.7,9.2
530,35.2,9.2
535,35.8,9.2
540,35.5,0.0
545,35.2,0.0
550,34.9,0.0
555,34.6,0.0
560,34.2,0.0
565,33.9,0.0
570,33.6,0.0
575,33.3,0.0
580,33.1,0.0
585,32.8,0.0
590,32.6,0.0
595,32.3,0.0
600,32.0,0.0
605,31.7,0.0
610,31.5,0.0
615,31.7,9.4
620,32.3,9.4
625,32.8,9.4
630,33.4,9.4
635,33.9,9.4
640,34.4,9.4
645,34.9,9.4
650,34.9,0.0
655,34.6,0.0
660,34.3,0.0
665,34.1,0.0
670,33.8,0.0
675,33.6,0.0
680,33.3,0.0
685,33.1,0.0
690,32.8,0.0
695,32.6,0.0
700,32.4,0.0
705,32.1,0.0
710,31.9,0.0
715,31.9,9.2
720,32.3,9.2
725,32.8,9.2
730,33.3,9.2
735,33.8,9.2
740,34.2,9.2
745,34.6,9.2
750,34.4,0.0
755,34.2,0.0
760,34.0,0.0
765,33.7,0.0
770,33.5,0.0
775,33.3,0.0
780,33.1,0.0
785,32.9,0.0
790,32.7,0.0
795,32.5,0.0
800,32.3,0.0
805,32.1,0.0
810,31.9,0.0
815,31.8,9.7
820,32.1,9.7
825,32.5,9.7
830,32.9,9.7
835,33.3,9.7
840,33.7,9.7
845,34.1,9.7
850,34.5,0.0
855,34.3,0.0
860,34.1,0.0
865,33.9,0.0
870,33.6,0.0
875,33.5,0.0
880,33.3,0.0
885,33.1,0.0
890,32.9,0.0
895,32.7,0.0
