seconds,APM1_CPU,APM2_CPU,APM3_CPU,APM4_CPU,APM5_CPU,APM6_CPU
0,0,0,0,0,0,0
5,0,0,100,3.6,99.6,0
10,0,0,91.4,1.6,90.6,0
15,0,0,94.3,1.1,93.8,0
20,0,0,95.9,0.8,95.5,0
25,0,0,96.8,0.6,96.4,0
30,0,0,97.2,0.6,96.9,0
35,0,0,97.7,0.5,97.5,0
40,0,0,98.1,0.4,97.8,0
45,0,0,98.2,0.4,91,0
50,0,0,98.4,0.3,81.9,0
55,0,0,98.5,0.3,74.4,0
60,0,0,98.7,0.3,68.2,0
65,0,0,98.7,0.4,63,0
70,0,0,98.8,0.6,58.5,0
75,0,0,95.8,0.8,54.6,0
80,0,0,89.8,1,51.2,0
85,0,0,84.5,1,48.1,0
90,0,0,79.8,1.2,45.5,0
95,0,0,75.6,1.3,43.1,0
100,0,0,71.8,1.4,40.9,0
105,0,0,70.7,1.4,39,0
110,0,0,72,1.6,37.2,0
115,0,0,73.3,1.6,35.6,0
120,0,0,74.4,1.7,34.1,0
125,0,0,75.5,1.8,33,0
130,0,0,75.8,1.8,35.4,0
135,0,0,76.6,1.8,37.5,0
140,0,0,77.4,1.9,39.7,0
145,0,0,78,1.9,41.8,0
150,0,0,78.7,1.9,43.7,0
155,0,0,79.3,1.9,45.5,0
160,0,0,79.7,2,45.6,0
165,0,0,80.3,2,44.2,0
170,0,0,78.5,2,42.9,0
175,0,0,76.3,2.1,41.7,0
180,0,0,74.2,2.1,40.5,0
185,0,0,72.1,2.1,39.4,0
190,0,0,70.2,2.1,38.4,0
195,0,0,68.4,2.2,37.4,0
200,0,0,66.7,2.2,36.4,0
205,0,0,66.7,2.2,35.6,0
210,0,0,67.4,2.2,34.7,0
215,0,0,68.2,2.2,33.9,0
220,0,0,68.9,2.2,33.1,0
225,0,0,69.6,2.2,32.4,0
230,0,0,70.2,2.3,31.7,0
235,0,0,70.9,2.3,31,0
240,0,0,71.5,2.3,30.9,0
245,0,0,72,2.3,32.3,0
250,0,0,72.5,2.3,33.7,0
255,0,0,73,2.3,34.9,0
260,0,0,73.5,2.3,36.2,0
265,0,0,73.7,2.3,37.2,0
270,0,0,73.8,2.3,38.1,0
275,0,0,72.5,2.3,37.4,0
280,0,0,71.2,2.3,36.7,0
285,0,0,69.9,2.3,36.1,0
290,0,0,68.7,2.4,35.4,0
295,0,0,67.6,2.4,34.8,0
300,0,0,66.5,2.4,34.3,0
