seconds,%CPU,%memory
0,0.0,0.0
5,100,0.0
10,91.4,0.0
15,94.3,0.0
20,95.9,0.0
25,96.8,0.0
30,97.2,0.0
35,97.7,0.0
40,98.1,0.0
45,98.2,0.0
50,98.4,0.0
55,98.5,0.0
60,98.7,0.0
65,98.7,0.0
70,98.8,0.0
75,95.8,0.0
80,89.8,0.0
85,84.5,0.0
90,79.8,0.0
95,75.6,0.0
100,71.8,0.0
105,70.7,0.0
110,72.0,0.0
115,73.3,0.0
120,74.4,0.0
125,75.5,0.0
130,75.8,0.0
135,76.6,0.0
140,77.4,0.0
145,78.0,0.0
150,78.7,0.0
155,79.3,0.0
160,79.7,0.0
165,80.3,0.0
170,78.5,0.0
175,76.3,0.0
180,74.2,0.0
185,72.1,0.0
190,70.2,0.0
195,68.4,0.0
200,66.7,0.0
205,66.7,0.0
210,67.4,0.0
215,68.2,0.0
220,68.9,0.0
225,69.6,0.0
230,70.2,0.0
235,70.9,0.0
240,71.5,0.0
245,72.0,0.0
250,72.5,0.0
255,73.0,0.0
260,73.5,0.0
265,73.7,0.0
270,73.8,0.0
275,72.5,0.0
280,71.2,0.0
285,69.9,0.0
290,68.7,0.0
295,67.6,0.0
300,66.5,0.0
305,66.3,0.0
310,66.9,0.0
315,67.4,0.0
320,67.9,0.0
325,68.4,0.0
330,68.9,0.0
335,69.3,0.0
340,69.7,0.0
345,70.1,0.0
350,70.5,0.0
355,70.9,0.0
360,71.4,0.0
365,71.7,0.0
370,70.7,0.0
375,69.7,0.0
380,68.8,0.0
385,67.9,0.0
390,67.1,0.0
395,66.2,0.0
400,65.4,0.0
405,64.6,0.0
410,64.1,0.0
415,64.5,0.0
420,65.0,0.0
425,65.4,0.0
430,65.8,0.0
435,66.2,0.0
440,66.5,0.0
445,66.9,0.0
450,67.3,0.0
455,67.6,0.0
460,68.0,0.0
465,68.3,0.0
470,68.7,0.0
475,69.0,0.0
480,69.3,0.0
485,69.3,0.0
490,68.6,0.0
495,67.9,0.0
500,67.2,0.0
505,66.6,0.0
510,65.9,0.0
515,65.3,0.0
520,64.6,0.0
525,64.1,0.0
530,64.4,0.0
535,64.7,0.0
540,65.0,0.0
545,65.4,0.0
550,65.7,0.0
555,66.0,0.0
560,66.3,0.0
565,66.6,0.0
570,66.9,0.0
575,67.2,0.0
580,67.4,0.0
585,67.7,0.0
590,68.0,0.0
595,68.0,0.0
600,67.5,0.0
605,66.9,0.0
610,66.4,0.0
615,65.8,0.0
620,65.3,0.0
625,64.8,0.0
630,64.3,0.0
635,63.7,0.0
640,63.5,0.0
645,63.7,0.0
650,64.0,0.0
655,64.3,0.0
660,64.5,0.0
665,64.8,0.0
670,65.1,0.0
675,65.3,0.0
680,65.6,0.0
685,65.8,0.0
690,66.1,0.0
695,66.3,0.0
700,66.6,0.0
705,66.8,0.0
710,67.0,0.0
715,67.2,0.0
720,66.6,0.0
725,66.2,0.0
730,65.8,0.0
735,65.3,0.0
740,64.8,0.0
745,64.4,0.0
750,63.9,0.0
755,64.2,0.0
760,64.4,0.0
765,64.6,0.0
770,64.9,0.0
775,65.1,0.0
780,65.3,0.0
785,65.5,0.0
790,65.7,0.0
795,66.0,0.0
800,66.2,0.0
805,66.4,0.0
810,66.6,0.0
815,66.8,0.0
820,67.0,0.0
825,66.9,0.0
830,66.5,0.0
835,66.1,0.0
840,65.7,0.0
845,65.3,0.0
850,64.9,0.0
855,64.5,0.0
860,64.1,0.0
865,64.3,0.0
870,64.4,0.0
875,64.6,0.0
880,64.8,0.0
885,65.0,0.0
890,65.2,0.0
895,65.4,0.0
