seconds,RX data rate,TX data rate,disk writes,available disk capacity
0,56462,210,3760.50,43080
2,120,0,3759.58,45115
4,60,0,3758.66,45115
6,1519,0,3757.76,45115
8,936,0,3756.85,45115
10,386,0,3755.93,45115
12,207,0,3755.02,45115
14,180,0,3754.09,45115
16,120,0,3753.19,45115
18,120,0,3752.27,45115
20,120,0,3751.39,45115
22,120,0,3750.46,45115
24,207,0,3749.56,45115
26,2009,0,3748.67,45115
28,326,0,3748.21,45115
30,386,0,3747.33,45115
32,120,0,3746.42,45115
34,207,0,3745.51,45115
36,120,0,3744.61,45116
38,120,0,3743.72,45116
40,120,0,3742.80,45116
42,120,0,3741.95,45116
44,120,0,3741.06,45116
46,1134,0,3740.17,45116
48,1238,0,3739.28,45116
50,386,0,3738.40,45116
52,446,0,3737.51,45116
54,60,0,3736.62,45116
56,120,0,3735.74,45116
58,120,0,3734.85,45116
60,120,0,3733.97,45116
62,180,0,3733.09,45066
64,60,0,3732.20,45001
66,1175,0,3731.33,45001
68,1220,0,3730.44,44873
70,576,0,3733.42,44874
72,120,0,3740.28,44874
74,180,0,3758.31,44618
76,120,0,3757.42,44618
78,120,0,3756.53,44618
80,180,0,3755.64,44618
82,120,0,3758.63,44618
84,180,0,3761.60,44618
86,1365,0,3780.00,44618
88,1572,0,3779.12,44104
90,626,0,3778.23,44104
92,180,0,3777.34,44104
94,270,90,3780.31,44106
96,180,0,3783.28,44106
98,240,0,3801.05,44106
100,300,120,3800.15,44106
102,60,0,3799.26,44106
104,180,0,3802.22,44106
106,891,0,3805.18,44106
108,1403,0,3820.23,44106
110,326,0,3821.61,44106
112,446,0,3820.68,44106
114,120,0,3819.79,44106
116,120,0,3818.90,43078
118,180,0,3825.69,43078
120,120,0,3843.93,43082
122,60,0,3843.03,43082
124,180,0,3842.12,43082
126,1301,0,3841.46,43082
128,1220,0,3844.43,43082
130,120,0,3862.90,43082
132,386,0,3862.03,43082
134,120,0,3861.11,43082
136,240,0,3864.01,43082
138,240,0,3866.96,43082
140,267,0,3882.86,43082
142,180,0,3882.44,43082
144,180,0,3881.52,43082
146,1519,0,3880.59,43082
148,936,0,3883.52,43082
150,446,0,3886.41,43082
152,120,0,3903.31,43082
154,120,0,3902.38,43082
158,240,0,3901.01,43082
160,120,0,3903.93,43082
162,120,0,3906.85,43082
164,207,0,3924.96,43082
166,120,0,3924.09,43082
168,2009,0,3923.18,41026
170,386,0,3922.26,41026
172,446,0,3925.16,41026
174,120,0,3928.07,41026
176,120,0,3943.65,41034
178,120,0,3942.74,41034
180,120,0,3941.81,41034
182,120,0,3940.90,41034
184,120,0,3943.80,41034
186,120,0,3960.53,41034
188,2275,0,3959.61,41034
190,386,0,3958.69,41034
192,180,0,3961.58,41034
194,270,90,3964.47,41034
196,120,0,3980.81,41034
198,120,0,3979.89,41034
200,240,120,3978.96,41034
202,120,0,3978.03,41034
204,120,0,3980.91,41034
206,120,0,3998.56,41034
208,2275,0,3997.63,41034
210,120,0,3996.71,41034
212,386,0,3995.78,41034
214,120,0,3998.65,41034
216,120,0,4001.53,41034
218,120,0,4018.78,41034
220,120,0,4017.84,41034
222,120,0,4016.91,41034
224,120,0,4019.78,41034
226,120,0,4022.65,41034
228,2009,0,4039.44,41034
230,629,0,4038.50,41034
232,386,0,4037.57,41034
234,120,0,4036.63,41034
236,120,0,4038.60,41034
238,120,0,4042.35,41034
240,120,0,4059.08,41034
242,120,0,4058.13,41034
244,180,0,4057.18,41034
246,831,0,4060.02,41034
248,1504,0,4062.37,41034
250,386,0,4064.73,41034
252,120,0,4080.15,41034
254,240,0,4079.19,41034
256,120,0,4078.22,41034
258,120,0,4083.89,41034
260,120,0,4086.26,41034
262,180,0,4100.28,41034
264,180,0,4099.29,41034
266,1241,0,4098.35,41034
268,1220,0,4097.38,41034
270,386,0,4099.76,41034
272,120,0,4114.91,41034
274,207,0,4113.96,41034
276,120,0,4113.00,41034
278,120,0,4112.06,36922
280,120,0,4114.41,36922
282,120,0,4133.33,36938
284,120,0,4132.37,36938
286,1743,0,4131.42,36938
288,652,0,4130.47,36938
290,386,0,4136.11,36938
292,240,0,4138.46,36938
294,180,0,4155.44,36938
296,120,0,4154.49,36938
298,180,0,4153.53,36938
300,240,0,4155.23,36938
302,180,0,4154.92,36938
304,240,0,4174.61,36938
306,1803,0,4173.65,36938
308,772,0,4172.73,36938
310,386,0,4171.80,36938
312,240,0,4174.38,36938
314,240,0,4180.01,36938
316,180,0,4195.34,36938
318,240,0,4194.42,36938
320,180,0,4193.50,36938
322,240,0,4195.86,36938
324,180,0,4198.23,36938
326,1525,0,4213.43,36938
328,996,0,4212.51,36938
330,506,0,4211.58,36938
332,180,0,4213.87,36938
334,240,0,4216.10,36938
338,240,0,4230.94,36938
340,240,0,4230.00,36938
342,180,0,4229.28,36938
344,390,90,4231.59,36938
346,360,0,4233.90,36938
348,2129,0,4249.99,36938
350,566,60,4249.02,36938
352,386,0,4248.04,36938
354,240,0,4250.35,36938
356,180,0,4255.93,36938
358,120,0,4273.44,36938
360,240,0,4272.46,36938
362,180,0,4271.47,36938
364,240,0,4270.47,36938
366,951,0,4274.91,36938
368,1564,0,4275.09,36938
370,506,0,4290.51,36938
372,489,0,4289.54,36938
374,240,0,4288.56,36938
376,240,0,4290.85,36938
378,180,0,4293.14,36938
380,240,0,4308.18,36938
382,120,0,4307.20,36938
384,240,0,4306.22,36938
386,180,0,4308.50,36938
388,2275,0,4314.04,36938
390,506,0,4328.21,36938
392,180,0,4327.22,36938
394,240,0,4326.24,36938
396,267,0,4325.24,36938
398,360,0,4327.52,36938
400,300,0,4329.80,36938
402,240,0,4344.69,36938
404,240,0,4343.70,36938
406,1251,0,4342.72,36938
408,2065,0,4344.99,36938
410,746,0,4347.25,36938
412,240,0,4363.70,36938
414,360,0,4362.71,36938
416,240,0,4361.72,36938
418,267,0,4360.73,36938
420,180,0,4362.99,36938
422,180,0,4365.26,36938
424,240,0,4381.60,36938
426,240,0,4380.61,36938
428,2075,0,4379.65,36938
430,506,0,4378.68,36938
432,386,0,4380.93,36938
434,240,0,4383.20,36938
436,300,0,4399.28,36938
438,60,0,4398.29,36938
440,120,0,4397.54,36938
442,120,0,4396.55,36938
444,240,0,4398.80,36938
446,951,0,4414.61,36938
448,1444,0,4413.62,36938
450,120,0,4412.65,36938
452,386,0,4414.89,36938
454,180,0,4417.13,36938
456,120,0,4432.62,36938
458,60,0,4431.62,36938
460,327,0,4430.62,36938
462,300,0,4429.62,36938
464,420,0,4434.79,36938
466,1197,0,4439.12,36938
468,1418,0,4449.13,36938
470,626,0,4448.14,36938
472,566,0,4447.14,36938
474,180,0,4449.37,36938
476,60,0,4454.83,36938
478,120,0,4472.02,36938
480,472,0,4471.01,36938
482,180,0,4470.00,36938
484,120,0,4469.00,36938
486,1175,0,4471.22,36938
488,1160,0,4488.90,36938
490,446,0,4487.95,36938
492,120,0,4486.94,32825
494,180,0,4489.15,32825
496,60,0,4493.20,32825
498,120,0,4496.76,32842
500,180,0,4509.44,32842
502,120,0,4508.43,32842
504,120,0,4507.42,32842
506,1115,0,4506.40,32842
508,1280,0,4511.83,32842
510,386,0,4514.03,32842
512,120,0,4527.73,32842
514,120,0,4526.71,32842
516,60,0,4525.70,32842
518,180,0,4527.89,32842
520,120,0,4530.09,32842
522,120,0,4544.32,32842
524,120,0,4543.31,32842
526,1175,0,4542.24,32842
528,1528,0,4547.44,32842
530,570,0,4546.60,32842
532,240,0,4548.76,32842
534,240,0,4562.29,32842
536,240,0,4561.28,32842
538,297,90,4560.25,32842
540,120,0,4559.23,32842
542,120,0,4564.62,32842
544,240,120,4578.93,32842
546,1241,0,4577.91,32842
548,1220,0,4576.88,32842
550,386,0,4579.06,32842
552,120,0,4581.24,32842
554,180,0,4596.66,32842
556,120,0,4595.62,32842
558,120,0,4594.59,32842
560,120,0,4593.56,32842
562,120,0,4595.74,32842
564,120,0,4597.90,32842
566,1241,0,4613.70,32842
568,1307,0,4612.67,32842
570,694,0,4611.64,32842
572,304,0,4613.80,32842
574,363,0,4615.97,32842
576,120,0,4631.66,32842
580,352,0,4630.11,32842
582,120,0,4629.07,32842
584,120,0,4631.24,32842
586,120,0,4633.39,32842
588,2009,0,4649.87,32842
590,386,0,4648.82,32842
592,386,0,4647.79,32842
594,120,0,4646.79,32842
596,240,0,4648.95,32842
598,240,0,4651.13,32842
600,240,0,4666.68,32842
602,210,90,4665.68,32842
604,120,0,4664.69,32842
606,120,0,4666.89,32842
608,2129,120,4669.07,32842
610,386,0,4683.76,32842
612,386,0,4682.72,32842
614,180,90,4681.68,32842
616,210,0,4683.85,32842
618,363,0,4689.20,32842
620,180,0,4696.48,32842
622,180,0,4702.19,32842
624,120,0,4701.15,32842
626,120,0,4700.11,32842
628,2009,0,4702.30,32842
630,386,0,4707.62,32842
632,386,0,4719.91,32842
634,120,0,4718.86,32842
636,120,0,4717.82,32842
638,120,0,4719.99,32842
640,180,0,4722.30,32842
642,60,0,4734.51,32842
644,120,0,4733.45,32842
646,120,0,4732.43,32842
648,2009,0,4731.43,32842
650,446,0,4736.71,32842
652,326,0,4752.40,32842
654,120,0,4751.34,32842
656,120,0,4750.28,32842
658,240,0,4749.23,32842
660,240,0,4754.51,32842
662,180,0,4769.34,33789
664,180,0,4768.29,29677
666,120,0,4767.49,29677
668,2135,0,4766.44,29677
670,326,0,4768.58,29693
672,386,0,4786.34,29693
674,180,0,4785.33,29693
676,267,0,4784.32,29693
678,120,0,4783.30,29693
680,60,0,4785.87,29693
682,120,0,4787.98,29693
684,120,0,4802.24,29693
686,951,0,4801.18,29693
688,1504,0,4800.16,29693
690,386,0,4802.25,29693
692,60,0,4801.24,29693
694,180,0,4819.09,29693
696,120,0,4818.08,29693
698,120,0,4817.05,29693
700,60,0,4816.02,29693
702,120,0,4818.15,29693
704,180,0,4823.43,29693
706,957,0,4837.64,29693
708,1238,0,4836.60,29693
710,326,0,4835.58,29693
712,1296,90,4837.70,29693
714,120,0,4842.91,29693
716,240,120,4850.84,29693
718,120,0,4855.22,29693
720,180,0,4854.17,29693
722,609,0,4853.17,29693
724,240,0,4855.29,29693
726,1017,0,4860.57,29693
728,1178,0,4873.49,29693
730,446,0,4872.45,29693
732,386,0,4871.41,29693
734,180,0,4870.40,29693
736,120,0,4875.66,29693
738,120,0,4877.99,29693
740,120,0,4891.91,29693
742,120,0,4890.84,29693
744,120,0,4889.78,29693
746,957,0,4891.89,29693
748,1238,0,4892.60,29693
